Sensor1,Sensor2,Manual
663,249,10
367,428,5
347,459,5
650,255,10
928,188,15
1251,156,20
1505,127,25
1739,120,30
2174,131,35
2379,107,40
2750,135,45
2923,115,50
3170,88,55
3493,50,60
3510,38,60
3177,66,55
2904,107,50
2620,90,45
2311,75,40
2053,82,35
1774,107,30
1486,123,25
1217,135,20
925,180,15
622,254,10
337,449,5
350,443,5
615,255,10
918,183,15
1255,156,20
1530,131,25
1851,130,30
2070,111,35
2353,104,40
2699,124,45
2979,127,50
3264,119,55
3685,155,60
3543,130,60
3232,119,55
2982,136,50
2658,102,45
2341,105,40
2156,115,35
1881,131,30
1565,135,25
1241,147,20
921,181,15
619,248,10
339,470,5
